acc_x_mean,acc_x_std,acc_x_max,acc_x_min,acc_x_rms,acc_x_skew,acc_x_kurt,acc_x_energy,acc_x_entropy,acc_y_mean,acc_y_std,acc_y_max,acc_y_min,acc_y_rms,acc_y_skew,acc_y_kurt,acc_y_energy,acc_y_entropy,acc_z_mean,acc_z_std,acc_z_max,acc_z_min,acc_z_rms,acc_z_skew,acc_z_kurt,acc_z_energy,acc_z_entropy,gyro_x_mean,gyro_x_std,gyro_x_max,gyro_x_min,gyro_x_rms,gyro_x_skew,gyro_x_kurt,gyro_x_energy,gyro_x_entropy,gyro_y_mean,gyro_y_std,gyro_y_max,gyro_y_min,gyro_y_rms,gyro_y_skew,gyro_y_kurt,gyro_y_energy,gyro_y_entropy,gyro_z_mean,gyro_z_std,gyro_z_max,gyro_z_min,gyro_z_rms,gyro_z_skew,gyro_z_kurt,gyro_z_energy,gyro_z_entropy,corr_acc_xy,corr_acc_xz,corr_acc_yz,label
-0.1068780307112069,0.21131021195489763,0.33818359375,-0.570166015625,0.23680143395919173,-0.1731761155837182,-0.1673866710866201,2.5035719741185507,2.5649705028489507,-0.010766601562499993,0.7498484845004467,0.939599609375,-2.610009765625,0.7499257759384071,-2.252652224511588,4.771491669142269,31.524819048643113,2.3989841206339335,0.8854155441810343,0.5558750739640369,2.125439453125,-0.41689453125,1.0454462127397663,-0.4028069218054494,0.2314466059060276,17.324446983496344,2.2372039258488354,-25.188922199805575,174.23124633317613,267.82317810058595,-431.85365600585936,176.04263404186997,-0.8608976865154918,-0.09663044943320998,1762696.087544186,2.146506948453756,17.195630843142666,46.75456892531097,134.57927398681642,-83.23170623779296,49.81645747627277,0.22506616493198076,0.08113826931808443,126929.51026873452,2.313915103163573,11.692988034884134,26.473238504927984,56.82927055358887,-57.01829528808594,28.940599961347473,-0.8868450084347886,-0.024700959681987822,40693.58337315454,2.3507096535921277,0.48037144774519686,-0.27981344581212914,-0.05694372953973053,DOWN
-0.15960372121710528,0.1825763746834288,0.1080078125,-0.487548828125,0.24250253693289733,-0.12856444674991369,-1.3538793235625106,1.8672861516064605,2.3345102977779613,-0.06567811129385964,0.4660435938529852,0.399609375,-1.62958984375,0.4706487497853732,-2.020547565170273,3.7461252342280265,12.166756126305152,2.3082909889151977,0.9241270901864035,0.4634997728016692,1.818115234375,-0.039306640625,1.0338485953966317,-0.07940649270031996,-0.38825243854209646,12.034298206362234,2.049707068284222,-30.65757525594611,134.12616276447304,117.18292999267578,-336.56708984375,137.58529884582842,-1.0528718716862828,-0.33923764352628094,1007740.511563936,1.775593340401244,9.395699763193464,88.78333663467295,168.18293151855468,-135.28658905029295,89.27911311177847,-0.019096781086938443,-1.2269075585763298,441554.83322567947,2.344445614641016,5.1381044513300855,28.27052530221844,93.4390266418457,-37.75000152587891,28.733651320640597,1.2251175599957393,1.80843667588542,44770.24534836379,2.428817079274643,-0.1295946653383315,-0.31771201941158067,-0.2461681929148265,DOWN
-0.07790436921296297,0.17947485603915342,0.3056640625,-0.597314453125,0.1956535578330854,-0.8412766733404825,1.8107547612531958,1.6773981198242731,2.2462211057314314,-0.06536277488425925,0.5635238551645806,0.453857421875,-1.84912109375,0.5673018840794746,-1.7498551669611662,2.5147608788082705,16.535807676315308,1.9922698976797697,0.9602520978009259,0.39656555146138267,1.984033203125,0.343408203125,1.03891690136264,0.9116552738994425,0.6074887863408378,8.188976706436701,1.9482890657595286,-12.580059229886093,172.9805971051853,162.10975952148436,-380.3902526855469,173.43743789935866,-0.7978033759291967,-0.7661023721382954,1558113.9682446881,1.8768613306312771,-6.876129326555465,49.19276325898488,129.07317352294922,-102.2073211669922,49.67100876336265,0.6130971839547974,0.7238929423361165,126011.20228389555,2.12820450837704,3.344625299065202,26.21360229597354,57.713416290283206,-38.98170776367188,26.426113292018865,0.34564818286982407,-0.5850908943455821,35783.85297647483,2.222114963471306,0.6523756671004031,-0.346805838030531,-0.5121739189932377,DOWN
0.005683593750000001,0.1613502155540121,0.37529296875,-0.309619140625,0.1614502873866789,-0.10823475056682041,-0.2183670163286675,1.2516580407436078,2.33604950405617,-0.12652734375,0.6351862048708597,0.54208984375,-2.084912109375,0.6476655646046627,-1.6481417576597672,2.2193993711384374,19.397266177947706,1.9754174139422842,0.9306533203125,0.6635876032908158,2.7146484375,0.026318359375,1.1430066097140164,1.09371010140807,0.8606196142739568,21.17061462998391,1.8896528556823053,-10.55068608820438,202.2794172406327,185.4756103515625,-423.57318115234375,202.5543868104115,-0.7165336651982491,-0.9634873089591109,1885464.792589626,1.6009605729041172,-13.988059342900913,58.208029391742485,86.25609893798828,-140.34756317138672,59.86518595853917,-0.1779214330990608,-0.4857971428293628,156132.06998984484,2.1492865301961044,-11.939151814207435,34.486016215710706,59.103660583496094,-67.23170928955078,36.49422776923708,0.14591532382018846,-0.8153887596166269,54802.80075762076,1.85143603184023,-0.2706973338135533,0.21238782655702296,-0.606891296737919,DOWN
-0.04573003029336735,0.1313261643604497,0.231591796875,-0.40322265625,0.1390604081550897,-0.13146243685686312,0.4334303219651914,0.8281798806190492,2.4351666828239344,-0.17496213329081636,0.6244248325401429,0.430517578125,-1.97236328125,0.6484736845689723,-1.5676672582194155,1.6935010539577595,18.72330395908356,1.865168884266892,0.9314054528061225,0.5288635476475093,2.341552734375,0.2029296875,1.0710801881966108,1.1095108891944172,0.8193101497193829,13.431033230495455,1.9404256436742184,-16.298900635102218,202.9390364439506,204.39024963378907,-416.4268432617188,203.5925015188724,-0.6315290170893585,-1.0613303201554691,2060004.6304959715,1.5396443452915554,-2.344931138730517,44.90451236500187,91.79878082275393,-103.12195510864258,44.96569729008986,0.0016166559877991318,-0.029255841564736595,100859.53875290604,2.088159133549537,-11.233142319847556,23.608820921060715,41.12195243835449,-39.82317123413086,26.144978708361265,0.557249423164934,-0.7671854374229006,27879.54004154499,2.223062419861773,-0.05349704125806902,-0.16344524101187333,-0.7667742492742816,DOWN
-0.05528477260044643,0.191953242923342,0.4404296875,-0.453662109375,0.19975598501739722,0.15621841214509855,0.2433369496432629,1.9922691887822646,2.503391917435414,-0.10937064034598214,0.5752039222176015,0.463134765625,-1.98564453125,0.5855095977899959,-1.8600485647438316,3.0610774640593394,17.889278090904504,2.09882606478116,0.9176025390625,0.5466696670572558,1.93701171875,-0.10048828125,1.0681021227272407,0.11492300266466511,-0.5737703472045386,16.158390417592276,2.079481832631108,-19.346205866778345,190.62642832116612,207.3780548095703,-403.37805786132816,191.60561279859326,-0.9067514929147205,-0.6409327395216113,1892194.2374521655,1.6494460743659665,-2.3582882583141322,37.26985399948552,72.82317199707032,-83.46951522827149,37.344391019968036,0.030636382176022738,-0.6264732476621031,72329.77863449095,2.1878814507379625,-11.746838579795979,32.39282811331363,62.597562885284425,-72.701220703125,34.45698085727281,0.46173813739166736,-0.21026387931568147,54639.75237931217,2.1821226957932995,0.3860256030524865,-0.1255222336930412,-0.4766327684709354,DOWN
-0.050619741586538466,0.13656727043649136,0.216162109375,-0.56181640625,0.14564675620404904,-0.9560059056808126,2.6470869501626266,1.1939222238280556,2.7073265886196216,-0.046456580528846145,0.5034252101073478,0.440380859375,-2.027490234375,0.5055641957714772,-2.4491062493206757,6.172841447840858,16.22380425265341,2.447764641329239,0.9288686899038463,0.5376297081300988,2.44609375,-0.124169921875,1.0732393703865615,0.5998676602257721,1.1848670215055623,18.50330447644898,2.270876052256772,-5.5743721412889915,156.5813316285835,191.8231735229492,-435.87806396484376,156.6805253991383,-1.4972499370017085,0.9414250363818599,1570582.7249760162,2.2562715091133825,0.23762026013749954,49.24855699398595,126.71341705322266,-83.71341552734376,49.24913023981144,0.7048075767159159,0.056529924182005864,155380.80529788142,2.509594771610864,-4.761456112066907,24.671571499752833,76.21341705322266,-44.04268417358399,25.126836342336365,1.1833304220169985,1.6070332362918407,38993.218630364805,2.6360869654773693,0.7545984926064837,-0.41688652896516626,-0.5829257554656391,DOWN
0.048878987630208336,0.1705893887508792,0.4349609375,-0.298974609375,0.17745392355806802,-0.10527053425062946,-0.03353671367482702,1.3409731567382812,2.1256940728970863,-0.1914957682291667,0.8345198708714939,0.530126953125,-2.8080078125,0.8562091123837995,-1.970212109713477,3.0355728167495997,32.09186437397003,2.066538681575424,0.8953928629557292,0.7180417619378362,2.812353515625,-0.1107421875,1.14774228419051,0.9956758629054707,0.900338335971667,23.75849104881286,1.9854330394298145,-38.018040586759646,231.78538201431004,293.9329345703125,-524.2439270019531,234.88259774954835,-0.7564749668543336,-0.7556433970003993,2475630.9699995043,1.7100320017207382,-13.182292086382708,43.54817246205125,57.50609893798829,-115.6280517578125,45.49962801425157,-0.5528188142332711,0.11301297535066102,87396.7196561714,2.174078963998619,-13.782012442002694,22.883861586612298,38.56097640991211,-41.00609817504883,26.713573105572138,0.6778277650712898,-0.7626100033481147,24137.619287948623,2.318015883789558,-0.11612534884821676,0.3607226678442105,-0.8565307837047852,DOWN
-0.01823187934027778,0.16813514804286656,0.28095703125,-0.364599609375,0.16912075399452042,-0.6443677748089942,-0.4319834768262778,1.472040531550135,2.579269638933806,-0.13153121383101854,0.6818087762876188,0.50224609375,-2.349755859375,0.6943800599345299,-1.9463138125651382,3.2451860791163982,24.206870837637346,2.235743753545424,0.8689190899884258,0.6580591550120641,2.777880859375,-0.051025390625,1.0899826771290937,1.2130170535565916,1.2753681384406752,22.55030240969998,2.2782690449449396,-41.3658553927033,193.28363930325983,188.3292694091797,-467.7317199707031,197.66056565405935,-0.9016443713626114,-0.5481007893319649,1945327.245464193,1.8318426513708441,0.014340821018925433,60.18557830151956,97.5792724609375,-156.85975952148436,60.185580010061294,-0.5587331104259797,-0.10704861889125361,188626.29652139376,2.303639479130455,-10.825542284272334,32.2690312680077,73.85365867614746,-52.951220703125,34.036491369179444,0.5737116849548758,-0.19521988008980484,54229.494999312294,2.5691991088925716,0.12003573681655323,0.02139730294433805,-0.6629933742690265,DOWN
-0.010725585937499999,0.2397947660962288,0.53828125,-0.58681640625,0.24003451427002695,-0.2640783294691264,0.9186462527430881,2.7645075014004346,2.0223202447140065,-0.1767060546875,0.7067337256805566,0.3822265625,-2.452001953125,0.7284899373207169,-2.07021263753647,3.4417400050409013,24.01325583833914,2.0123698748678116,0.9359189453125001,0.5875221892602147,2.49794921875,0.064794921875,1.105045969662791,1.2052400304811268,0.8843360694853821,16.595383510131104,1.916073589065513,-16.221186964652116,202.18390123455927,240.95732727050785,-472.53050537109374,202.83356927532537,-0.8827444300086799,-0.46029199029435786,2044702.6176505012,1.730063047168114,3.3470829786038854,89.1950673569452,205.5548828125,-178.39634399414064,89.25784562309158,0.23930309980367281,-0.09841754404035186,397940.99742589955,2.0843105540454685,-2.005141424899008,34.86096918127087,100.8536590576172,-50.95731887817383,34.91858766318253,1.1935730083973377,1.387492833121847,60787.72952003467,2.113090998894688,-0.7104242448360994,0.5078636550346393,-0.6801629111939321,DOWN
