timestamp,sensor,x,y,z
1768239240.6419928,acc,-0.01123046875,-0.10107421875,1.001220703125
1768239240.6569974,acc,-0.002685546875,-0.099609375,1.01318359375
1768239240.6643093,acc,0.0,-0.093994140625,1.010009765625
1768239240.6723404,acc,-0.00830078125,-0.087646484375,1.005615234375
1768239240.687223,acc,-0.014892578125,-0.080078125,1.003662109375
1768239240.694207,acc,-0.012451171875,-0.073486328125,1.0029296875
1768239240.709836,acc,-0.016357421875,-0.072998046875,1.006591796875
1768239240.7174222,acc,-0.0185546875,-0.075927734375,1.011962890625
1768239240.7244213,acc,-0.01416015625,-0.082763671875,1.015380859375
1768239240.7324116,acc,-0.010009765625,-0.090576171875,1.01513671875
1768239240.7474651,acc,-0.01025390625,-0.095947265625,1.013916015625
1768239240.7549732,acc,-0.00927734375,-0.104736328125,1.014404296875
1768239240.76231,acc,-0.005859375,-0.111083984375,1.016357421875
1768239240.7772667,acc,-0.005126953125,-0.113037109375,1.017333984375
1768239240.7840507,acc,0.000244140625,-0.10986328125,1.01513671875
1768239240.7924645,acc,0.00732421875,-0.105224609375,1.016357421875
1768239240.7992733,acc,0.00830078125,-0.10107421875,1.019287109375
1768239240.8137872,acc,0.003173828125,-0.098388671875,1.015625
1768239240.8223245,acc,0.0,-0.096923828125,1.011962890625
1768239240.8298028,acc,0.00244140625,-0.09423828125,1.014892578125
1768239240.8448708,acc,0.005859375,-0.0908203125,1.022705078125
1768239240.859842,acc,0.00390625,-0.09228515625,1.022216796875
1768239240.859842,acc,-0.000732421875,-0.091796875,1.017333984375
1768239240.874806,acc,-0.0048828125,-0.091552734375,1.00927734375
1768239240.8823524,acc,-0.00341796875,-0.092041015625,1.00927734375
1768239240.889814,acc,-0.000244140625,-0.09423828125,1.01318359375
1768239240.9048085,acc,0.00390625,-0.095703125,1.01025390625
1768239240.91239,acc,0.00830078125,-0.095458984375,1.005859375
1768239240.9203408,acc,0.016357421875,-0.0908203125,1.007568359375
1768239240.9348545,acc,0.0234375,-0.08447265625,1.01318359375
1768239240.941941,acc,0.027587890625,-0.083251953125,1.01806640625
1768239240.9501467,acc,0.025634765625,-0.086669921875,1.018310546875
1768239240.9649463,acc,0.009765625,-0.0859375,1.011962890625
1768239240.9722996,acc,-0.00732421875,-0.080078125,1.0126953125
1768239240.97985,acc,-0.00390625,-0.07568359375,1.0224609375
1768239240.9941835,acc,0.00390625,-0.082275390625,1.03076171875
1768239241.002194,acc,0.003173828125,-0.0888671875,1.037353515625
1768239241.0092041,acc,-0.00927734375,-0.089599609375,1.050048828125
1768239241.0247486,acc,-0.01513671875,-0.075927734375,1.07421875
1768239241.0317411,acc,-0.0126953125,-0.066650390625,1.09619140625
1768239241.039748,acc,-0.017333984375,-0.05419921875,1.1259765625
1768239241.0547397,acc,-0.029052734375,-0.057373046875,1.171875
1768239241.0617416,acc,-0.04052734375,-0.1240234375,1.25634765625
1768239241.0687401,acc,-0.0009765625,-0.239501953125,1.325927734375
1768239241.08474,acc,-0.009033203125,-0.38525390625,1.498779296875
1768239241.0917404,acc,-0.1240234375,-0.56689453125,1.841552734375
1768239241.1017425,acc,-0.13720703125,-0.697509765625,2.3271484375
1768239241.1147547,acc,-0.124755859375,-0.690185546875,2.968505859375
1768239241.1223164,acc,0.066162109375,-0.488525390625,3.3544921875
1768239241.1293235,acc,0.094482421875,-0.051025390625,3.35595703125
1768239241.1446214,acc,0.009521484375,0.35205078125,3.072509765625
1768239241.1523247,acc,-0.11328125,0.386962890625,2.647705078125
1768239241.1598568,acc,-0.45068359375,0.036376953125,2.1591796875
1768239241.174895,acc,-0.650634765625,-0.359619140625,1.61865234375
1768239241.182359,acc,-0.522216796875,-0.470458984375,0.906982421875
1768239241.1898541,acc,-0.084716796875,-0.556640625,0.105224609375
1768239241.2048628,acc,0.35595703125,-0.534423828125,-0.6591796875
1768239241.2122228,acc,0.5126953125,-0.3369140625,-1.347900390625
1768239241.220438,acc,0.407470703125,-0.302734375,-1.8232421875
1768239241.226885,acc,0.541259765625,-0.1962890625,-2.015625
1768239241.2418032,acc,0.730224609375,-0.060546875,-1.963134765625
1768239241.2498188,acc,0.68017578125,-0.006591796875,-1.777587890625
1768239241.257189,acc,0.654296875,0.079833984375,-1.44677734375
1768239241.2723246,acc,0.618408203125,0.175048828125,-0.978515625
1768239241.2795577,acc,0.44384765625,0.19580078125,-0.42919921875
